Date,Month,Matches,Active_Players,Total_Medals
2015-10-27,2015-10,14,69,1556
2015-10-28,2015-10,17,92,1748
2015-10-29,2015-10,13,82,1262
2015-10-30,2015-10,2,15,124
2015-10-31,2015-10,32,186,2212
2015-11-01,2015-11,34,196,2553
2015-11-02,2015-11,31,143,2686
2015-11-03,2015-11,27,133,2794
2015-11-04,2015-11,42,247,2842
2015-11-05,2015-11,55,302,5276
2015-11-06,2015-11,51,257,3841
2015-11-07,2015-11,70,382,5530
2015-11-08,2015-11,121,611,10114
2015-11-09,2015-11,149,730,12462
2015-11-10,2015-11,59,350,4967
2015-11-11,2015-11,51,306,4628
2015-11-12,2015-11,40,215,3052
2015-11-13,2015-11,80,426,7973
2015-11-14,2015-11,97,340,4903
2015-11-15,2015-11,155,628,10045
2015-11-16,2015-11,50,221,3215
2015-11-17,2015-11,41,221,2805
2015-11-18,2015-11,80,430,5932
2015-11-19,2015-11,25,267,5003
2015-11-20,2015-11,31,209,3336
2015-11-21,2015-11,58,431,6889
2015-11-22,2015-11,174,1251,24138
2015-11-23,2015-11,91,787,12885
2015-11-24,2015-11,87,724,12415
2015-11-25,2015-11,75,649,10295
2015-11-26,2015-11,92,662,11319
2015-11-27,2015-11,67,421,5411
2015-11-28,2015-11,122,841,10777
2015-11-29,2015-11,116,705,10007
2015-11-30,2015-11,109,578,8165
2015-12-01,2015-12,61,344,5479
2015-12-02,2015-12,69,522,9718
2015-12-03,2015-12,99,792,14635
2015-12-04,2015-12,107,749,12991
2015-12-05,2015-12,123,664,10323
2015-12-06,2015-12,141,787,13186
2015-12-07,2015-12,94,647,10088
2015-12-08,2015-12,64,439,6366
2015-12-09,2015-12,54,392,4038
2015-12-10,2015-12,79,492,7292
2015-12-11,2015-12,147,872,12805
2015-12-12,2015-12,102,472,5725
2015-12-13,2015-12,125,893,12544
2015-12-14,2015-12,73,443,6250
2015-12-15,2015-12,108,584,7996
2015-12-16,2015-12,81,463,5696
2015-12-17,2015-12,145,686,8740
2015-12-18,2015-12,88,370,6299
2015-12-19,2015-12,106,521,7958
2015-12-20,2015-12,180,714,9682
2015-12-21,2015-12,135,671,8562
2015-12-22,2015-12,95,455,5129
2015-12-23,2015-12,125,621,6927
2015-12-24,2015-12,80,424,5800
2015-12-25,2015-12,80,414,4627
2015-12-26,2015-12,98,468,7824
2015-12-27,2015-12,224,953,14225
2015-12-28,2015-12,181,672,9611
2015-12-29,2015-12,159,727,9447
2015-12-30,2015-12,96,387,5412
2015-12-31,2015-12,119,513,6459
2016-01-01,2016-01,47,197,2823
2016-01-02,2016-01,72,276,4542
2016-01-03,2016-01,149,732,8233
2016-01-04,2016-01,142,590,8721
2016-01-05,2016-01,68,303,3798
2016-01-06,2016-01,94,444,6932
2016-01-07,2016-01,108,471,6862
2016-01-08,2016-01,170,817,11390
2016-01-09,2016-01,172,911,15173
2016-01-10,2016-01,141,834,14741
2016-01-11,2016-01,106,602,12438
2016-01-12,2016-01,65,392,7535
2016-01-13,2016-01,64,279,5740
2016-01-14,2016-01,69,301,5134
2016-01-15,2016-01,84,438,6131
2016-01-16,2016-01,95,499,6267
2016-01-17,2016-01,98,516,5973
2016-01-18,2016-01,84,485,7951
2016-01-19,2016-01,69,410,6489
2016-01-20,2016-01,61,262,4461
2016-01-21,2016-01,37,257,3357
2016-01-22,2016-01,112,583,8293
2016-01-23,2016-01,118,569,7522
2016-01-24,2016-01,132,604,8640
2016-01-25,2016-01,52,321,6426
2016-01-26,2016-01,79,417,5834
2016-01-27,2016-01,102,523,6763
2016-01-28,2016-01,36,210,2705
2016-01-29,2016-01,36,213,2585
2016-01-30,2016-01,117,544,8100
2016-01-31,2016-01,88,417,6535
2016-02-01,2016-02,84,466,8293
2016-02-02,2016-02,63,264,3933
2016-02-03,2016-02,36,219,3277
2016-02-04,2016-02,71,307,4453
2016-02-05,2016-02,39,291,4912
2016-02-06,2016-02,74,436,5877
2016-02-07,2016-02,77,376,5211
2016-02-08,2016-02,27,132,1837
2016-02-09,2016-02,46,196,3084
2016-02-10,2016-02,47,226,4031
2016-02-11,2016-02,77,360,5798
2016-02-12,2016-02,71,296,6060
2016-02-13,2016-02,81,329,4866
2016-02-14,2016-02,72,356,5609
2016-02-15,2016-02,81,377,6551
2016-02-16,2016-02,69,376,5990
2016-02-17,2016-02,90,373,6302
2016-02-18,2016-02,60,428,7357
2016-02-19,2016-02,90,557,10502
2016-02-20,2016-02,94,579,9748
2016-02-21,2016-02,111,713,12569
2016-02-22,2016-02,69,350,4993
2016-02-23,2016-02,47,235,3121
2016-02-24,2016-02,41,298,6319
2016-02-25,2016-02,74,438,10616
