Medal_ID,Medal_Name,Classification,Difficulty,Total_Awards,Unique_Players,Matches
35545941,Scorpion Destroyed,Vehicles,60.0,299,277,141
68187090,Trifecta,Breakout,20.0,870,680,825
92444561,Warthog Destroyed,Vehicles,80.0,1324,1140,607
121048710,Rampage,KillingSpree,30.0,36,34,35
125834251,Wheelman,Vehicles,150.0,3578,1189,659
151853593,Blind Side,Breakout,40.0,248,215,240
164204247,Flag Defense,CaptureTheFlag,55.0,5217,2741,790
194124164,Team Takedown,Style,240.0,1724,1472,1215
250435527,Brawler,Style,195.0,26103,13156,9183
266550583,Invincible,KillingSpree,20.0,2,2,2
281002471,Busted,Vehicles,10.0,266,257,229
285057226,From the Grave,Style,165.0,12298,8371,6505
298813630,Spartan Charge,Style,135.0,20453,10138,9968
317993761,Killtacular,MultiKill,30.0,486,328,430
343942800,Killamanjaro,MultiKill,20.0,46,41,46
352859864,Team Takedown,Style,245.0,8207,5636,5305
370413844,Perfect Kill,WeaponProficiency,35.0,2411,1609,1351
394618614,Stopped Short,CaptureTheFlag,5.0,409,335,277
411368450,Alley-Oop,Style,5.0,13,13,13
466059351,Top Gun,Style,20.0,7980,5035,7977
492192256,Ground Pound,Style,140.0,5340,3383,3563
515648662,Mongoose Destroyed,Vehicles,90.0,1007,887,517
565087105,Killtastrophe,MultiKill,15.0,19,17,19
615190505,Mantis Destroyed,Vehicles,70.0,181,164,90
651116095,Rocket Mary,WeaponProficiency,65.0,425,345,296
685960231,BXR,Style,90.0,360,335,333
762229696,Banshee Destroyed,Vehicles,75.0,315,281,147
764679877,Goal,Ball,20.0,2160,1045,429
786413504,Banshee Assist,Vehicles,130.0,385,335,131
824733727,Distraction,Style,150.0,78362,31499,17465
848240062,Sniper Headshot,WeaponProficiency,50.0,28306,7664,3268
876932011,Power Player,WeaponProficiency,80.0,3110,2371,1111
979431049,Bifecta,Breakout,25.0,3510,2225,2838
1080468863,Perfect Kill,WeaponProficiency,45.0,13838,7540,4228
1127532123,Untouchable,KillingSpree,25.0,7,6,7
1212900805,Immortal,Breakout,5.0,592,421,475
1219497744,Hijack,Vehicles,35.0,1988,1624,805
1234371130,Goal Defense,Ball,35.0,4629,1645,426
1259067733,Retribution,Style,110.0,402,379,387
1326375333,Team Takedown,Style,245.0,5187,3953,1247
1351381581,Stronghold Defense,Strongholds,20.0,16225,5260,874
1423504140,Longshot,WeaponProficiency,55.0,5183,2918,2229
1427531503,Team Takedown,Style,245.0,350,290,217
1492451766,Killionaire,MultiKill,5.0,4,4,4
1494478183,Flag Capture Assist,CaptureTheFlag,60.0,2248,1619,1118
1568252876,Wraith Destroyed,Vehicles,65.0,85,80,54
1573153198,Vanquisher,Breakout,30.0,8571,4738,5279
1618319591,Nadeshot,Style,125.0,1572,1258,1451
1637841390,Capture Assist,Strongholds,40.0,6982,4050,863
1655262350,Pounder Assist,Style,60.0,29,29,28
1669270602,Flag Joust,CaptureTheFlag,30.0,187,171,162
1691836029,Hard Target,Style,105.0,749,661,680
1730555799,First Touch,Ball,55.0,2403,1121,431
1792284502,Triple Double,Style,15.0,1513,1287,833
1801925525,Skyjack,Vehicles,230.0,164,154,103
1807727172,Killtrocity,MultiKill,25.0,142,116,137
1838382875,Flag Champion,CaptureTheFlag,20.0,58,49,58
1957561936,Carrier Protected,CaptureTheFlag,45.0,1010,834,815
1986137636,Snapshot,WeaponProficiency,15.0,6578,3215,2051
1997362612,Team Takedown,Style,245.0,112,103,50
2006781774,Airsassination,Style,70.0,28,27,26
2010966644,Ball Kill,Ball,25.0,69,28,11
2016270491,Showstopper,Style,30.0,210,201,203
2028249938,Carrier Kill,CaptureTheFlag,40.0,12348,6362,3741
2032512673,Extermination,MultiKill,55.0,3,3,3
2077162827,Gun Punch,Style,170.0,1767,1369,1591
2078758684,Double Kill,MultiKill,45.0,110617,34797,17961
2093481574,Snipeltaneous!,WeaponProficiency,5.0,40,39,40
2105198095,Total Control,Strongholds,5.0,18505,5601,855
2108880282,Snipunch,WeaponProficiency,70.0,864,656,514
2137994204,Flag Runner,CaptureTheFlag,25.0,428,351,408
2150057864,Pounder,Style,61.0,29,28,28
2155964350,Fast Break,Breakout,55.0,1294,822,689
2221955973,Ball Carrier Kill,Ball,30.0,7454,1941,422
2237392606,Wraith Assist,Vehicles,120.0,105,99,44
2251767925,Stuck,Style,130.0,3503,2496,2597
2271298273,Clutch Kill,Style,25.0,130,93,54
2279899989,Perfect Kill,WeaponProficiency,30.0,619,479,491
2287626681,Melee Kill,Style,220.0,61878,26960,16283
2299864088,Flag Kill,CaptureTheFlag,35.0,3780,2308,2184
2322887852,Flag Driver,CaptureTheFlag,3.0,188,163,133
2359847435,Extinction,Breakout,35.0,1740,1220,1564
2366628262,EMP Assist,Style,210.0,989,783,748
2380717523,Team Takedown,Style,245.0,7459,3526,796
2421706731,Superfecta,Breakout,10.0,80,75,80
2430242797,Killing Spree,KillingSpree,45.0,34901,17839,15513
2462002800,Combat Evolved,Style,205.0,81,77,76
2494364276,Last Shot,Style,175.0,4236,3122,3379
2497544753,Ghost Destroyed,Vehicles,85.0,2864,2284,902
2531822079,Cluster Luck,Style,75.0,938,820,881
2564994165,Big Gun Runner,WeaponProficiency,75.0,2399,2052,1882
2683910456,Noob Combo,Style,120.0,1012,707,706
2707871298,Running Riot,KillingSpree,35.0,207,187,195
2715985301,Ball Carrier Protected,Ball,50.0,366,280,222
2732907792,Mongoose Assist,Vehicles,145.0,860,755,377
2763748638,Triple Kill,MultiKill,40.0,12642,6657,6808
2766284219,Quickdraw,Style,200.0,803,669,757
2782465081,Reversal,Style,115.0,60813,23189,15761
2838259753,Protector,Style,145.0,45758,21659,12476
2859802775,Road Trip,Vehicles,25.0,101,94,39
2896365521,Team Takedown,Style,245.0,414,358,316
2916014239,Team Takedown,Style,245.0,14660,5132,875
2966496172,Assassination,Style,190.0,4995,3681,3662
2977773352,Hat Trick,WeaponProficiency,20.0,2195,1530,1156
3001183151,First Strike,Style,180.0,17694,10907,17693
3033979855,Killpocalypse,MultiKill,10.0,8,8,8
3098362934,Perfect Kill,WeaponProficiency,25.0,684,528,547
3148489433,Starkiller,Style,235.0,1940,1596,1524
3261908037,Headshot,WeaponProficiency,60.0,649234,54491,18200
3270120991,Beat Down,Style,185.0,11988,8187,7667
3318955876,Game Saver,Style,80.0,206,196,199
3354395650,Capture Spree,Strongholds,10.0,917,660,470
3392925967,Scorpion Assist,Vehicles,115.0,326,292,124
3400287617,Close Call,Style,155.0,58060,25750,13470
3440416044,Mantis Assist,Vehicles,125.0,193,180,72
3485523253,Ball Champion,Ball,10.0,182,149,171
3486286344,Airborne Snapshot!,WeaponProficiency,10.0,814,613,546
3491849182,Hail Mary,Style,160.0,7914,4384,5259
3522125871,Killing Frenzy,KillingSpree,40.0,1816,1363,1567
3565443938,Stronghold Captured,Strongholds,15.0,34009,6905,875
3592822316,Perfection,KillingSpree,5.0,13,13,13
3601671677,Sayonara,Style,225.0,3,3,3
3653057799,Perfect Kill,WeaponProficiency,40.0,14268,7806,6164
3676723563,Splatter,Vehicles,40.0,4113,2168,964
3698887726,Cliffhanger,Style,85.0,5323,3920,4290
3710519250,Overkill,MultiKill,35.0,2142,1285,1648
3744028405,Wingman,Style,35.0,1691,1379,1313
3786961025,Fastball,Style,65.0,97,92,96
3824002610,Ghost Assist,Vehicles,140.0,3039,2429,811
3881314877,Ball Runner,Ball,15.0,542,435,343
3886151616,Flag Capture,CaptureTheFlag,50.0,3525,2324,1961
3894006667,Stealth Capture,CaptureTheFlag,10.0,2337,1541,1879
3915864153,Pineapple Express,Vehicles,3.0,23,20,22
3925170236,Big Game Hunter,Style,50.0,6387,2990,1056
3972445431,Bodyguard,Style,40.0,239,217,235
3992195104,Perfect Kill,WeaponProficiency,22.0,207,98,46
4048801324,Warthog Assist,Vehicles,135.0,1541,1305,524
4116576170,Flagsassination,CaptureTheFlag,15.0,19,17,18
4204396686,Buckle Up,Vehicles,5.0,1080,719,433
4252521258,Bulltrue,Style,45.0,658,540,458
