Player,Matches_Played,Total_Medals,Unique_Medals,Avg_Medals_Per_Match
A 0 N Eclipse,2,16,8,8.0
A 2 tailed fox,1,21,15,21.0
A 29 Delivery,1,3,3,3.0
A 2tha nimal,3,25,12,8.33
A 7 Gram Blunt,1,16,3,16.0
A 9ja Ch0p,1,6,3,6.0
A American Monk,1,1,1,1.0
A B4ller1,1,4,2,4.0
A BALLS86,1,1,1,1.0
A BIG mC,2,11,4,5.5
A BOOTY TAP,1,3,3,3.0
A BOSS Coyote,1,12,5,12.0
A BRIGHT SHADOW,5,29,8,5.8
A Baby Lynx,1,12,6,12.0
A BacKWaRdsManN,1,4,1,4.0
A Bad Dream x,1,15,4,15.0
A Baggie,1,24,11,24.0
A Bear of Doom,2,18,5,9.0
A Big Blue Ape,1,17,9,17.0
A Blind Kid 8P,1,26,13,26.0
A Blue TV,2,16,8,8.0
A BlueBarracuda,1,12,8,12.0
A Brutal Potato,1,17,7,17.0
A C L E Y M OR3,1,17,8,17.0
A CAT WHO DABS,1,3,2,3.0
A COW 9,1,8,6,8.0
A Certain Index,1,36,8,36.0
A ChAoTiCMiDgEt,9,44,11,4.89
A Chai Vee,1,21,10,21.0
A Chaotic,2,24,8,12.0
A Cheeky Beaver,1,19,9,19.0
A Cheeky Otter,1,22,11,22.0
A Chubby Gopher,1,22,5,22.0
A Chubby Pony,3,17,10,5.67
A Clumsy Prinny,1,8,6,8.0
A Cold Sniper,1,14,3,14.0
A Common Remedy,1,10,5,10.0
A Corpsemaker,1,8,3,8.0
A Covert Lion,7,100,15,14.29
A Cr1ms0n Ch1n,1,10,7,10.0
A Creeeeper,3,20,11,6.67
A Cuddly Kitty,1,8,8,8.0
A CutexKitten,1,16,12,16.0
A D Gutierrez,1,12,9,12.0
A D R l A N C A,1,5,5,5.0
A DEAD MAN1145,1,17,11,17.0
A DIABETIC LYON,41,439,56,10.71
A DR0WN1NG FISH,1,5,3,5.0
A DRUNK REDNEKK,1,8,7,8.0
A DaiIy Anthem,1,11,3,11.0
A Daidryn,1,16,4,16.0
A Dank Dodo,1,16,8,16.0
A David S R,1,4,3,4.0
A DeIivery Man,1,11,9,11.0
A Deadly Use,1,16,4,16.0
A Devoured Soul,1,10,4,10.0
A Dinky Dingus,1,3,3,3.0
A Dire Canadian,1,15,12,15.0
A Dirt Squirell,1,3,3,3.0
A DirtyNapkin 7,1,17,9,17.0
A Do0obie,1,6,4,6.0
A Dribbling Pug,1,1,1,1.0
A Dry Noodle,2,14,8,7.0
A Emo Next Door,1,10,9,10.0
A Emo Squirtle,1,5,4,5.0
A Exploding 360,3,17,7,5.67
A F 2 S z N,1,7,2,7.0
A FOXYGRANDPA09,1,11,10,11.0
A Fabulous Idea,1,9,8,9.0
A Fading Takka,1,30,13,30.0
A Fallen Chair,7,81,21,11.57
A Figure Skater,1,2,2,2.0
A Floppy Dingus,1,6,6,6.0
A Flying BigMac,1,14,6,14.0
A Fragrant Fart,1,6,4,6.0
A Freakin Sheep,1,3,3,3.0
A Fried Hippo,1,3,3,3.0
A Friendly Foxx,2,22,5,11.0
A Frosty Sub,1,11,6,11.0
A G0D Among Man,1,5,3,5.0
A GIANT SL0TH,1,25,7,25.0
A GINGER BANDIT,1,19,5,19.0
A GO1D3N GOPHER,1,18,13,18.0
A GODLY TACO,3,6,4,2.0
A GRIMY POOCH,1,8,8,8.0
A Gay Mew,6,40,9,6.67
A Ghost 0f 0nyx,1,14,6,14.0
A GlassOfBleach,1,11,8,11.0
A Grimoire,1,9,5,9.0
A HUG3 B3AV3R,4,36,7,9.0
A Heroic Churro,1,17,11,17.0
A Huge Dragon,1,14,8,14.0
A JI A XI,1,3,2,3.0
A JPEG File,1,8,2,8.0
A JeffPocalypse,7,46,11,6.57
A Jewish Pri3st,1,32,10,32.0
A Killer Wabbit,1,14,9,14.0
A Killers Alibi,2,22,9,11.0
A Kind Stranger,1,20,13,20.0
A King Of Cats,1,6,4,6.0
A LONE POP TART,1,4,4,4.0
A Lamboy,1,13,7,13.0
A Large Basket,1,21,11,21.0
A Lazy Pickle,2,54,13,27.0
A LethalQueen,1,2,2,2.0
A Level99 JBomb,2,15,9,7.5
A LiTTle TRuCK,1,5,3,5.0
A Lil Toaster,1,4,4,4.0
A Lion Returns,1,20,13,20.0
A LoMbZ,1,28,10,28.0
A Loli Chaser,1,3,3,3.0
A Lone Renegade,1,5,4,5.0
A Lost Crusader,1,4,2,4.0
A Lucent Eagle,2,8,3,4.0
A Lucent Seagul,1,25,13,25.0
A Lvl 2 Preenie,2,22,10,11.0
A Lvl 5 Preenie,3,26,11,8.67
A M1LE HIGH,1,13,5,13.0
A MaZ3 ZinG,1,10,4,10.0
A Mad Viking,2,20,8,10.0
A Magic Muggle,1,3,3,3.0
A Magical Tac0,3,30,7,10.0
A Man Made Lake,1,12,10,12.0
A Man Named Pan,1,11,4,11.0
A Man You Envy,1,3,3,3.0
A ManDingoParty,1,12,5,12.0
A Martyrs Fall,1,17,10,17.0
A Mean Jedi,1,4,2,4.0
A Meat Person,1,6,2,6.0
A Mute Bard,1,3,2,3.0
A Mystic Unit,1,4,2,4.0
A N TlIH E R O,1,9,6,9.0
A NEW MAN 90,1,11,7,11.0
A Naga Brovice,2,30,10,15.0
A Nerf Rifle,2,10,5,5.0
A Nice Guy64,1,11,8,11.0
A POL0CK,1,24,14,24.0
A POO POO MAN,1,13,5,13.0
A PR3TTY G1RL,2,20,3,10.0
A Panda Ballz,1,12,2,12.0
A Perky Pug,47,346,39,7.36
A Petty Penguin,1,4,4,4.0
A Phoenix Soul,1,9,8,9.0
A Potato in HD,1,10,8,10.0
A Psycho Raptor,1,5,2,5.0
A Purple Fennec,1,12,3,12.0
A Pwacho,1,12,3,12.0
A Quick 0ne,3,41,12,13.67
A R0GUE PLAYER,2,36,8,18.0
A Rabid Anim4l,6,32,11,5.33
A Random Guy,1,15,8,15.0
A Raving Donkey,1,25,14,25.0
A Ray of Lite,1,10,7,10.0
A Reckless Pro,1,19,5,19.0
A River Troll,1,2,2,2.0
A Rock Hard Keg,4,93,10,23.25
A Rogue Hammer,1,14,2,14.0
A Rogue Johnson,1,6,6,6.0
A Rusty Shiv,1,9,5,9.0
A S,1,25,11,25.0
A SAVAGE LEGACY,1,15,5,15.0
A SICK RITUAL,2,21,9,10.5
A SQUATINGBEAR,1,1,1,1.0
A SUCKERFACE,1,22,8,22.0
A Saint42,1,3,3,3.0
A Sassy Gay Guy,1,13,2,13.0
A Savage Cat,11,74,17,6.73
A Seduced Koala,2,2,2,1.0
A Shopin Cart,1,8,5,8.0
A Si13nt Panda,1,5,2,5.0
A Silent Dragon,2,42,19,21.0
A SilentSpartan,1,6,3,6.0
A Slushie,1,11,7,11.0
A Sly Cougar,1,17,8,17.0
A Sly lVloose,1,13,8,13.0
A Smart Camper,3,26,8,8.67
A Sneaky Beard,1,8,8,8.0
A Sneaky Walrus,1,4,2,4.0
A Spacely Avian,1,13,5,13.0
A SpittanLizard,1,10,6,10.0
A Squid Loaf,1,10,6,10.0
A SquidSquirrel,1,4,2,4.0
A Strait Savage,3,6,2,2.0
A Suh Duude,1,10,9,10.0
A Suros Regime,1,13,3,13.0
A T M L E,1,8,6,8.0
A TRAINNNN,1,10,4,10.0
A TeXaS KillA,1,41,15,41.0
A Team Thing,1,4,3,4.0
A To The DD,2,23,10,11.5
A To Zed,1,13,6,13.0
A Tok3r,1,11,6,11.0
A Tony A,1,12,3,12.0
A Treeles Acorn,5,40,9,8.0
A Tricky Senpai,1,6,3,6.0
A Trippy Mane,1,13,7,13.0
A True Mysteryy,3,15,8,5.0
A Tundra Yeti,1,15,5,15.0
A Tunnel Buddy,1,3,3,3.0
A TwerkingMoose,2,12,6,6.0
A Tyme,2,16,9,8.0
A Vehicle321,1,10,8,10.0
A Vizard,1,10,9,10.0
A Vote 4 Change,2,44,6,22.0
A WHITEBOY,1,14,8,14.0
A WILD DRASTIC,1,4,4,4.0
A WagOfMyFinger,2,16,7,8.0
A White Ape,1,4,3,4.0
A Wicked Kitten,1,18,5,18.0
A Wild Card,1,8,5,8.0
A Wild Cubchoo,1,6,2,6.0
A Wind Dragon,2,33,12,16.5
A Witty Halfwit,3,20,10,6.67
A Woody Pecker,1,3,2,3.0
